"Time","y","x_dfy","x_infl","x_svar","x_tms","x_tbl","x_dfr","x_dp","x_ltr","x_ep","x_bmr","x_ntis"
198101,-0.0104199514530834,0.0193,0.009356725,0.002951529,-0.035,0.1549,-0.0104,-3.09281184338054,0.0352,-2.21491100105803,0.891503024,0.026816375
198102,0.0508002980257966,0.0222,0.00811124,0.001597435,-0.0291,0.1502,-0.0015,-3.03951761495707,-0.0115,-2.17350202024693,0.907238697,0.028695433
198103,0.0718455534354875,0.0202,0.010344828,0.001530909,-0.0196,0.1479,0.0166,-3.04627608843398,-0.0435,-2.19213357435681,0.881815757,0.030009373
198104,0.0122483446445686,0.0201,0.006825939,0.002075944,-0.0088,0.1336,-0.0073,-3.07528490525594,0.0384,-2.23300415915554,0.924920557,0.027939298
198105,0.0347466328404162,0.0168,0.006779661,0.000832003,-0.00369999999999998,0.1369,-0.0251,-3.0457226155209,-0.0518,-2.19948826245447,0.930593836,0.027352012
198106,0.0243759681168566,0.0163,0.007856341,0.000921688,-0.0365,0.163,-0.0027,-3.03828729717216,0.0622,-2.18813784761877,0.936223847,0.028844618
198107,0.0344966146126693,0.0205,0.008908686,0.000995543,-0.0169,0.1473,0.0202,-3.02206482472818,-0.0179,-2.16808244747225,0.950474982,0.027893437
198108,-0.0253470950475545,0.0179,0.011037528,0.001102989,-0.0125,0.1495,-0.0019,-3.01309882375082,-0.0353,-2.16011027274247,0.974966924,0.025590219
198109,-0.0130567083988246,0.0145,0.007641921,0.001824938,-0.0106,0.1551,0.0041,-2.94226445778404,-0.0386,-2.09027943952666,1.053354056,0.026991742
198110,0.0935561969950625,0.0143,0.009750813,0.002761174,0.00120000000000001,0.147,-0.0054,-2.88026633662582,-0.0145,-2.02925059333384,1.092378644,0.02148337
198111,0.0800394225580137,0.0171,0.002145923,0.002078252,0.003,0.1354,-0.0308,-2.92263157106372,0.0829,-2.07526617026936,1.089085684,0.014897108
198112,0.0137357274357914,0.0217,0.003211991,0.001504003,0.0134,0.1086,-0.0143,-2.95300185193226,0.141,-2.10924414095048,1.044455443,0.015672826
198201,0.0288331359403785,0.0232,0.003201708,0.000905798,0.0249,0.1085,0.0133,-2.91691430577635,-0.0713,-2.0767523822546,1.061142857,0.011909646
198202,-0.0141413264890847,0.0192,0.003191489,0.002521933,0.0187,0.1228,-0.0175,-2.89470004832242,0.0046,-2.0710581758445,1.065893698,0.010700487
198203,0.039491807222338,0.0191,0.003181336,0.001918232,0.00539999999999999,0.1348,0.013,-2.82774692240315,0.0182,-2.02075736189302,1.126287316,0.010506098
198204,0.0890670479596857,0.0224,-0.001057083,0.001795226,0.0119,0.1268,0.0075,-2.81305351011219,0.0231,-2.02283903636755,1.185750574,0.005548433
198205,0.00852139931567207,0.0232,0.004232804,0.001246821,0.0078,0.127,-0.0035,-2.84783361399298,0.0373,-2.07658064310843,1.149983498,0.002923686
198206,0.0310249791866077,0.0238,0.009483667,0.000854816,0.0149,0.1209,0.0211,-2.80344976638145,0.0034,-2.05135905697222,1.190423896,-0.000958184
198207,0.0288148461435705,0.0211,0.012526096,0.001490293,0.0165,0.1247,-0.0245,-2.77853649106621,-0.0223,-2.04580155752504,1.201581417,0.00121303
198208,0.172246644672699,0.0219,0.005154639,0.000958583,0.0217,0.1135,0.0039,-2.75332637661748,0.0501,-2.0369936775208,1.206529805,-0.011551892
198209,0.0598447658213281,0.0261,0.002051282,0.006415933,0.0386,0.0868,0.00559999999999999,-2.86109489080409,0.0781,-2.16139442054575,1.082424471,-0.00285763
198210,0.161420940894328,0.0269,0.002047083,0.002131294,0.0391,0.0792,5e-04,-2.86673697976217,0.0618,-2.18386134952405,1.088535565,0.000550709
198211,0.0811724581762725,0.0261,0.003064351,0.006125908,0.0341,0.0771,0.0125,-2.97044699919292,0.0634,-2.31142669760002,0.983745412,0.006557832
198212,0.0580689888154039,0.0262,-0.00203666,0.00549165,0.0318,0.0807,0.0203,-3.00497071696123,-2e-04,-2.37031816317747,0.938726811,0.000958155
198301,0.0752006300764953,0.0231,-0.004081633,0.002490238,0.0301,0.0794,-0.0204,-3.01903932770261,0.0312,-2.40933704521816,0.932214727,0.002990054
198302,0.0602795676282912,0.0215,0.00204918,0.003280857,0.0327,0.0786,0.0215,-3.04970238246404,-0.0309,-2.44775011227401,0.906944315,0.00219476
198303,0.0734847221941396,0.0194,0.001022495,0.001911642,0.0249,0.0811,-0.0064,-3.06657456068451,0.0492,-2.47242509640605,0.876849239,0.000355881
198304,0.113087220219251,0.0188,0,0.001571821,0.0248,0.0835,0.0166,-3.09720681152351,-0.0094,-2.51086837279776,0.780067786,0.005993542
198305,0.0229254233443534,0.0178,0.007150153,0.001423751,0.023,0.0821,0.0198,-3.16800836009441,0.035,-2.57856122482557,0.71888762,0.006626844
198306,0.0712828107926677,0.0163,0.006085193,0.001084614,0.0293,0.0819,0.0062,-3.15414103627518,-0.0386,-2.56161174732726,0.734595577,0.010428913
198307,0.00101461108608853,0.0163,0.003024194,0.001399149,0.024,0.0879,-0.0085,-3.18731675252625,0.0039,-2.59171567898871,0.721382042,0.015826551
198308,0.0466856242674614,0.0124,0.004020101,0.002292825,0.029,0.0908,0.0031,-3.15086769004379,-0.0486,-2.5395182285115,0.735061123,0.025380209
